C50/C50test/PatriciaCommins/384968newsML.txt 
term tf-idf document_term_frequency
1997 3.9613878510146847 1
$1.70 0.0 0
$1.65 0.0 0
increas 0.0 0
1998 0.0 0
$2.15 0.0 0
$2.05 0.0 0
anticip 0.0 0
add 0.0 0
return 0.0 0
phone 0.0 0
involv 0.0 0
pitch 0.0 0
upcom 0.0 0
10 4.201808672900296 1
common 0.0 0
target 0.0 0
$400 0.0 0
exclud 0.0 0
week' 0.0 0
$518 0.0 0
canadian 0.0 0
alli 0.0 0
save 0.0 0
overlap 0.0 0
integr 0.0 0
septemb 0.0 0
sanifil 0.0 0
$1.6 0.0 0
posit 8.294609540800748 2
nation' 0.0 0
third-largest 0.0 0
top 4.1792436129082065 1
post 4.672642522202021 1
browning-ferri 0.0 0
fast 0.0 0
$34.125 0.0 0
43.75 0.0 0
healthcar 0.0 0
oil 0.0 0
bigger 0.0 0
1997' 0.0 0
boom 0.0 0
activ 0.0 0
domin 0.0 0
telecommun 0.0 0
util 0.0 0
insur 0.0 0
sector 0.0 0
airlin 0.0 0
verg 0.0 0
deal 0.0 0
frenzi 0.0 0
grip 0.0 0
america 0.0 0
pace 0.0 0
slow 0.0 0
1996' 0.0 0
record 0.0 0
reason 0.0 0
cycl 0.0 0
keevil 0.0 0
salomon 0.0 0
brother 0.0 0
$658.8 0.0 0
worth 0.0 0
1996 0.0 0
surpass 0.0 0
initi 0.0 0
figur 0.0 0
compil 0.0 0
data 0.0 0
newark 0.0 0
n.j.-base 0.0 0
track 0.0 0
driver 6.6185526712573335 1
current 0.0 0
trend 0.0 0
high-fli 0.0 0
coupl 0.0 0
stress 0.0 0
cost-cut 0.0 0
look 0.0 0
blown 0.0 0
it' 0.0 0
hard 0.0 0
better 0.0 0
feel 0.0 0
real 0.0 0
steven 0.0 0
wolitz 0.0 0
partner 0.0 0
co-head 0.0 0
lehman 0.0 0
pipelin 0.0 0
potenti 0.0 0
appear 0.0 0
full 0.0 0
we'r 0.0 0
level 0.0 0
profit 3.77716489476156 1
buyback 0.0 0
robert 0.0 0
lovejoi 0.0 0
lazard 0.0 0
frere 0.0 0
pro-act 0.0 0
step 0.0 0
gener 0.0 0
value-enhanc 0.0 0
realiz 0.0 0
count 0.0 0
boost 0.0 0
bruce 7.201698956602951 1
nolop 0.0 0
wasserstein 0.0 0
perella 0.0 0
feder 0.0 0
deregul 0.0 0
drive 0.0 0
rang 0.0 0
biggest 0.0 0
plai 0.0 0
year' 0.0 0
pharmaceut 0.0 0
hospit 0.0 0
health 0.0 0
mainten 0.0 0
organ 0.0 0
predict 0.0 0
energi 0.0 0
spent 0.0 0
form 0.0 0
allianc 0.0 0
divest 0.0 0
properti 0.0 0
aggress 0.0 0
seller 0.0 0
refin 0.0 0
plagu 0.0 0
poor 0.0 0
margin 0.0 0
prospect 0.0 0
hover 0.0 0
inevit 0.0 0
amr 0.0 0
corp' 0.0 0
american 0.0 0
subsidiari 0.0 0
british 0.0 0
airwai 0.0 0
plc 0.0 0
wide-reach 0.0 0
partnership 0.0 0
resolut 0.0 0
battl 0.0 0
lock 0.0 0
war 0.0 0
seek 4.689393332626836 1
cv 0.0 0
revco 0.0 0
d. 0.0 0
creat 0.0 0
drugstor 0.0 0
powerhous 0.0 0
northeast 0.0 0
southeast 0.0 0
near-term 0.0 0
industry' 0.0 0
dozen 5.913844668296313 1
small 0.0 0
publicli 0.0 0
privat 0.0 0
chain 17.67334925165627 3
scoop 0.0 0
join 0.0 0
combat 0.0 0
leader 0.0 0
walgreen 0.0 0
rite 0.0 0
aid 0.0 0
j.c 0.0 0
penney' 0.0 0
thrift 0.0 0
come 0.0 0
marti 0.0 0
murrer 0.0 0
donaldson 0.0 0
lufkin 0.0 0
jenrett 0.0 0
sector' 0.0 0
arbor 0.0 0
drug 0.0 0
genoves 0.0 0
store 0.0 0
duan 0.0 0
cite 0.0 0
sweep 0.0 0
signal 0.0 0
final 0.0 0
tumultu 0.0 0
twinsburg 0.0 0
$1.8 0.0 0
friendli 0.0 0
collaps 0.0 0
april 0.0 0
regul 0.0 0
contend 0.0 0
antitrust 0.0 0
issu 0.0 0
consum 9.01526999495096 2
hostil 0.0 0
big 0.0 0
southeastern 0.0 0
rebuff 0.0 0
struck 0.0 0
$380 0.0 0
octob 0.0 0
react 0.0 0
revco-cv 0.0 0
2-1/2 0.0 0
40-1/2 0.0 0
afternoon 0.0 0
$2.8 0.0 0
40 0.0 0
cvs' 0.0 0
expand 0.0 0
geograph 0.0 0
concern 0.0 0
disclos 0.0 0
growth 4.116354524359273 1
300 0.0 0
reloc 0.0 0
great 5.018460621241471 1
structur 0.0 0
go 8.27117177257432 2
addit 0.0 0
eric 0.0 0
bosshard 0.0 0
midwest 0.0 0
research-maxu 0.0 0
group 0.0 0
viabl 0.0 0
confirm 0.0 0
marriag 0.0 0
prosper 0.0 0
dwayn 0.0 0
hoven 0.0 0
co-chairman 0.0 0
sam 0.0 0
zell 0.0 0
zell' 0.0 0
chilmark 0.0 0
fund 0.0 0
lp 0.0 0
hold 0.0 0
19.2 0.0 0
merg 0.0 0
broke 0.0 0
stockhold 0.0 0
fuel 0.0 0
separ 0.0 0
busi 0.0 0
competit 0.0 0
conglomerate' 0.0 0
divis 10.751612962010874 2
fiercer 0.0 0
expans 0.0 0
unexpectedli 0.0 0
difficult 0.0 0
erod 0.0 0
dramat 0.0 0
rival 0.0 0
prepar 10.113485615624976 2
world' 0.0 0
best-known 0.0 0
- 0.0 0
knick 0.0 0
sheraton 0.0 0
madison 0.0 0
squar 0.0 0
garden 0.0 0
highest-qu 0.0 0
bottom 0.0 0
raab 0.0 0
collin 0.0 0
contribut 5.4239257293496355 1
vulner 0.0 0
regularli 0.0 0
reach 0.0 0
undervalu 0.0 0
14-1/4 0.0 0
56-7/8 0.0 0
knowledg 0.0 0
oper 18.225805634889742 5
admit 0.0 0
giant 0.0 0
falter 0.0 0
path 0.0 0
earmark 0.0 0
$2.5 0.0 0
lost 0.0 0
balli 0.0 0
construct 0.0 0
setback 0.0 0
high-stak 0.0 0
bacarrat 0.0 0
la 0.0 0
vega 0.0 0
rememb 0.0 0
public 0.0 0
attent 0.0 0
shrink 0.0 0
identifi 0.0 0
strategi 0.0 0
well 0.0 0
focus 0.0 0
problem 0.0 0
avoid 0.0 0
strong 0.0 0
background 0.0 0
overse 0.0 0
three-wai 0.0 0
presid 4.06983450872438 1
bowman 0.0 0
extrem 0.0 0
team 0.0 0
work 0.0 0
behind-the-desk 0.0 0
kind 0.0 0
ceo 0.0 0
gui 0.0 0
who' 0.0 0
live 0.0 0
breath 0.0 0
intellect 0.0 0
perspect 0.0 0
tout 0.0 0
futur 0.0 0
entic 0.0 0
less-than-favor 0.0 0
unfair 0.0 0
overshadow 0.0 0
respect 0.0 0
bjorn 0.0 0
hanson 0.0 0
cooper 0.0 0
lybrand 0.0 0
session 0.0 0
feb 0.0 0
14 0.0 0
respond 0.0 0
jim 0.0 0
gallagh 0.0 0
indic 4.899113863608905 1
dai 3.8966454354936975 1
saturdai 0.0 0
turn 0.0 0
request 0.0 0
tuesday' 0.0 0
permit 0.0 0
present 6.075687693746726 1
fax 0.0 0
letter 0.0 0
inappropri 0.0 0
sharpli 0.0 0
25 0.0 0
flew 0.0 0
london 0.0 0
european 0.0 0
right 0.0 0
brand 5.117062598046011 1
unit 0.0 0
ladbrok 0.0 0
name 0.0 0
attend 0.0 0
mid-week 0.0 0
downplai 0.0 0
discuss 0.0 0
ventur 0.0 0
plate 0.0 0
side 0.0 0
senior 0.0 0
vice 5.13272871479041 1
affair 0.0 0
marc 0.0 0
grossman 0.0 0
told 0.0 0
sponsor 0.0 0
montgomeri 0.0 0
detail 0.0 0
hf 0.0 0
henri 0.0 0
silverman 0.0 0
interview 4.224894692934479 1
search 0.0 0
licens 0.0 0
trademark 0.0 0
franchis 0.0 0
preliminari 0.0 0
evolv 0.0 0
previou 0.0 0
automot 0.0 0
estat 0.0 0
sweeten 0.0 0
clinch 0.0 0
term 0.0 0
reduc 0.0 0
member 0.0 0
commun 0.0 0
blast 0.0 0
definit 6.268878922777585 1
wait 0.0 0
equit 0.0 0
peter 0.0 0
gleason 0.0 0
$870 0.0 0
convert 0.0 0
prefer 0.0 0
$16 0.0 0
tender 0.0 0
20.1 0.0 0
base 0.0 0
thursday' 0.0 0
$104 0.0 0
$9.5 0.0 0
$10 0.0 0
$110-per-shar 0.0 0
set 0.0 0
guarante 0.0 0
speedi 0.0 0
payment 0.0 0
clear 0.0 0
regulatori 0.0 0
hurdl 0.0 0
establish 0.0 0
encourag 0.0 0
exit 0.0 0
decid 0.0 0
hammer 0.0 0
night 0.0 0
defend 0.0 0
extens 0.0 0
pact' 0.0 0
prevent 0.0 0
messag 0.0 0
aw 0.0 0
altern 0.0 0
period 0.0 0
attornei 0.0 0
legal 0.0 0
forthcom 0.0 0
bump 0.0 0
point 0.0 0
pricei 0.0 0
sens 0.0 0
afford 0.0 0
1430 0.0 0
est/1930 0.0 0
gmt 0.0 0
1-1/2 0.0 0
100-1/2 0.0 0
hick 0.0 0
muse 0.0 0
tate 0.0 0
furst 0.0 0
food 37.583822449982485 7
product 22.08151468073531 6
$1.3 0.0 0
renam 0.0 0
packag 0.0 0
conveni 15.343405171697372 2
chef 0.0 0
boyarde 0.0 0
pasta 0.0 0
pizza 0.0 0
mix 0.0 0
dinner 0.0 0
kits; 0.0 0
pam 0.0 0
cook 7.607164064711115 1
sprai 0.0 0
franklin 0.0 0
crunch 0.0 0
'n 0.0 0
munch 0.0 0
glaze 0.0 0
popcorn; 0.0 0
polan 0.0 0
fruit 0.0 0
spread 6.035947365097212 1
spices; 0.0 0
gulden' 0.0 0
mustard; 0.0 0
ranch 0.0 0
style 0.0 0
beans; 0.0 0
dennison' 0.0 0
chili; 0.0 0
luck' 0.0 0
ro-tel 0.0 0
tomato 0.0 0
chili 0.0 0
products; 0.0 0
jiffi 0.0 0
pop 0.0 0
maypo 0.0 0
wheatena 0.0 0
hot 0.0 0
cereals; 0.0 0
washington 0.0 0
broth 0.0 0
foodservic 0.0 0
label 0.0 0
$1.2 0.0 0
consist 0.0 0
proven 0.0 0
approach 0.0 0
build 0.0 0
except 0.0 0
superb 0.0 0
platform 0.0 0
buy-and-build 0.0 0
levitt 0.0 0
seven-year-old 0.0 0
gobbl 0.0 0
mexican 0.0 0
intend 0.0 0
start 0.0 0
grow 4.488108575125125 1
intern 0.0 0
dallas-bas 0.0 0
firm' 0.0 0
largest 0.0 0
dairi 0.0 0
morningstar 0.0 0
1991 0.0 0
1992 0.0 0
campfir 0.0 0
marshmallow 0.0 0
angela 0.0 0
marie' 0.0 0
march 0.0 0
ghirardelli 0.0 0
chocol 0.0 0
buyout 0.0 0
specialist 0.0 0
lee 0.0 0
abil 0.0 0
provid 4.366037630908094 1
help 0.0 0
focu 0.0 0
gross 0.0 0
rodman 0.0 0
renshaw 0.0 0
mario 0.0 0
corso 0.0 0
that' 0.0 0
2-5 0.0 0
cowen 0.0 0
ian 0.0 0
sanderson 0.0 0
products' 0.0 0
$1.125 0.0 0
$60.125 0.0 0
late 0.0 0
laggard 0.0 0
pretax 0.0 0
18 0.0 0
22 0.0 0
home' 0.0 0
premarin 0.0 0
hormon 0.0 0
replac 0.0 0
therapi 0.0 0
medic 0.0 0
devic 0.0 0
advil 0.0 0
pain 0.0 0
reliev 0.0 0
$500 0.0 0
peak 0.0 0
rapamun 0.0 0
bone 0.0 0
factor 0.0 0
effexor 0.0 0
anti-depress 0.0 0
road 0.0 0
reassess 0.0 0
uhl 0.0 0
adt 0.0 0
$3.5 0.0 0
western 0.0 0
resourc 0.0 0
inadequ 0.0 0
bidder 0.0 0
bona 0.0 0
fide 0.0 0
reflect 0.0 0
fair 0.0 0
favour 0.0 0
mail 0.0 0
north 0.0 0
america' 0.0 0
juli 0.0 0
8 0.0 0
determin 0.0 0
attempt 0.0 0
27.1 0.0 0
lai 0.0 0
groundwork 0.0 0
spokeswoman 0.0 0
elabor 0.0 0
review 0.0 0
adt' 0.0 0
boca 0.0 0
raton 0.0 0
fla.-bas 0.0 0
monitor 0.0 0
commerci 0.0 0
residenti 0.0 0
1.7 0.0 0
custom 0.0 0
second-largest 0.0 0
vehicl 0.0 0
auction 0.0 0
27 0.0 0
centr 0.0 0
$22.50 0.0 0
premier 0.0 0
$25 0.0 0
$30 0.0 0
slate 0.0 0
$29 0.0 0
apart 0.0 0
uncertainti 0.0 0
republic' 0.0 0
volatil 0.0 0
electron 0.0 0
grown 0.0 0
increasingli 0.0 0
face 4.504822056098866 1
heighten 0.0 0
era 0.0 0
believ 0.0 0
capitalis 0.0 0
impair 0.0 0
amalgam 0.0 0
numer 0.0 0
condit 0.0 0
fulfil 0.0 0
question 0.0 0
support 0.0 0
notion 0.0 0
nationwid 0.0 0
interest 0.0 0
electr 0.0 0
power 0.0 0
kansa 0.0 0
region 0.0 0
desir 6.428509068369469 1
western' 0.0 0
financ 0.0 0
one-tim 0.0 0
charg 0.0 0
tax 0.0 0
$50 0.0 0
limelight 0.0 0
autom 0.0 0
enhanc 0.0 0
technolog 0.0 0
infrastructur 0.0 0
bring 0.0 0
$23 0.0 0
$31.50 0.0 0
draw 0.0 0
corner 0.0 0
fight 0.0 0
take 0.0 0
place 0.0 0
cours 0.0 0
va 0.0 0
revis 0.0 0
extra 0.0 0
friday' 0.0 0
$9.3 0.0 0
$102 0.0 0
reuter 0.0 0
hope 0.0 0
hour 0.0 0
unveil 0.0 0
rebuf 0.0 0
$10.5 0.0 0
economi 0.0 0
charl 0.0 0
vincent 0.0 0
pnc 0.0 0
two-month 0.0 0
fit 0.0 0
preserv 0.0 0
aspect 0.0 0
rule 0.0 0
bananaa 0.0 0
break 0.0 0
lock-up 0.0 0
trader 0.0 0
refer 0.0 0
board' 0.0 0
hear 0.0 0
jan 0.0 0
9 0.0 0
hearing' 0.0 0
outcom 0.0 0
matter 0.0 0
win 0.0 0
site 0.0 0
vehement 0.0 0
scrutini 0.0 0
surfac 0.0 0
transport 0.0 0
agenc 0.0 0
you'r 0.0 0
opposit 0.0 0
shipper 0.0 0
express 0.0 0
opinion 0.0 0
stage 0.0 0
port 0.0 0
author 0.0 0
jersei 0.0 0
interven 0.0 0
$100 0.0 0
$43.375 0.0 0
87.5 0.0 0
$89.25 0.0 0
payabl 0.0 0
daili 0.0 0
rise 4.1049907657089575 1
fall 0.0 0
result 0.0 0
reaffirm 0.0 0
agre 0.0 0
levan 0.0 0
walk 0.0 0
doubt 0.0 0
appropri 0.0 0
accomplish 0.0 0
object 0.0 0
acceler 0.0 0
deadlin 0.0 0
mid-1997 0.0 0
ground 0.0 0
unchang 0.0 0
outstand 0.0 0
1.85619 0.0 0
17 0.0 0
extend 0.0 0
oct 0.0 0
15 0.0 0
rail 0.0 0
freight 0.0 0
east 0.0 0
coast 0.0 0
$1.875 0.0 0
$100.875 0.0 0
$1.25 0.0 0
$44 0.0 0
$2.25 0.0 0
$88.50 0.0 0
applic 0.0 0
john 0.0 0
snow 0.0 0
french 0.0 0
cgip 0.0 0
cap 0.0 0
gemini 0.0 0
option 0.0 0
pass 0.0 0
baton 0.0 0
ernest-antoin 0.0 0
seillier 0.0 0
willing 0.0 0
germany' 0.0 0
daimler-benz 0.0 0
ag 0.0 0
24.4 0.0 0
german 0.0 0
stai 0.0 0
forev 0.0 0
wait-and-se 0.0 0
limit 0.0 0
timet 0.0 0
novemb 0.0 0
cgip' 0.0 0
criteria 0.0 0
dedic 0.0 0
weigh 0.0 0
discount 0.0 0
despit 0.0 0
51 0.0 0
jump 0.0 0
33 0.0 0
biolog 0.0 0
diagnost 0.0 0
biomerieux 0.0 0
nich 0.0 0
field 0.0 0
converg 0.0 0
sort 0.0 0
consider 0.0 0
abras 0.0 0
pellet 0.0 0
wheelabrator-allevard 0.0 0
bureau 0.0 0
verita 0.0 0
earli 0.0 0
end 0.0 0
car 0.0 0
part 0.0 0
maker 0.0 0
valeo 0.0 0
sa 0.0 0
italian 0.0 0
businessman 0.0 0
carlo 0.0 0
de 0.0 0
benedetti 0.0 0
marketplac 0.0 0
cash-and-stock 0.0 0
thrown 0.0 0
victori 0.0 0
case 0.0 0
hing 0.0 0
broad 0.0 0
discret 0.0 0
yablon 0.0 0
professor 0.0 0
cardozo 0.0 0
univers 0.0 0
push 0.0 0
envelop 0.0 0
advantag 0.0 0
leewai 0.0 0
justifi 0.0 0
prevail 0.0 0
pnc' 0.0 0
$99.875 0.0 0
$43.25 0.0 0
$89.50 0.0 0
defenc 0.0 0
csx/conrail 0.0 0
unseat 0.0 0
accret 0.0 0
world-class 0.0 0
health-car 0.0 0
retail 0.0 0
eckerd 0.0 0
pennei 0.0 0
$3.3 0.0 0
leadership 0.0 0
pharmaci 0.0 0
entiti 0.0 0
countri 0.0 0
managed-car 0.0 0
environ 0.0 0
stronger 0.0 0
strengthen 0.0 0
patient 0.0 0
revco' 0.0 0
mail-ord 0.0 0
1,000 0.0 0
layoff 0.0 0
ohio 0.0 0
headquat 0.0 0
disput 0.0 0
unfortun 0.0 0
98 0.0 0
emploi 0.0 0
honor 0.0 0
sever 0.0 0
transit 0.0 0
tyco 0.0 0
standard 0.0 0
plumb 0.0 0
suppli 0.0 0
air 0.0 0
condition 0.0 0
histor 0.0 0
brownel 0.0 0
manufactur 0.0 0
contact 0.0 0
decemb 0.0 0
date 0.0 0
5 0.0 0
februari 0.0 0
standard' 0.0 0
conclud 0.0 0
carri 0.0 0
contempl 0.0 0
doubl 5.35587226610462 1
secondari 0.0 0
repurchas 0.0 0
piscatawai 0.0 0
n.j 0.0 0
parent 0.0 0
produc 0.0 0
trane 0.0 0
ideal 0.0 0
wabco 0.0 0
brake 0.0 0
exet 0.0 0
n.h 0.0 0
$150 0.0 0
$200 0.0 0
speak 0.0 0
happi 0.0 0
insist 0.0 0
tyco' 0.0 0
meant 0.0 0
steep 0.0 0
premium 0.0 0
$40.25 0.0 0
suspend 0.0 0
journal 0.0 0
$2.375 0.0 0
$42.625 0.0 0
12.5 0.0 0
$54.75 0.0 0
fifth-largest 0.0 0
$900 0.0 0
eastern 0.0 0
half 4.413606047827204 1
4,000 0.0 0
$13 0.0 0
outlet 0.0 0
elimin 0.0 0
headquart 0.0 0
phase 0.0 0
employe 0.0 0
woonsocket 0.0 0
r.i 0.0 0
leav 0.0 0
intent 0.0 0
care 0.0 0
locat 0.0 0
middl 0.0 0
atlant 0.0 0
equival 0.0 0
$40.64 0.0 0
$38 0.0 0
$3.375 0.0 0
$41.375 0.0 0
heavi 0.0 0
$3.125 0.0 0
$47.125 0.0 0
acknowledg 0.0 0
began 0.0 0
cvs-revco 0.0 0
goeograph 0.0 0
address 0.0 0
describ 0.0 0
formal 0.0 0
lo 0.0 0
angel 0.0 0
bollenbach' 0.0 0
januari 0.0 0
31 0.0 0
low 0.0 0
$65 0.0 0
in-depth 0.0 0
analysi 0.0 0
obtain 0.0 0
negoti 0.0 0
proxi 0.0 0
$8.5 0.0 0
studi 5.5922610441688505 1
$100.375 0.0 0
$1.375 0.0 0
$86.375 0.0 0
reschedul 0.0 0
enter 0.0 0
third 0.0 0
fierc 0.0 0
prize 0.0 0
motor 0.0 0
hugh 0.0 0
aircraft 0.0 0
raytheon 0.0 0
stock-and-debt 0.0 0
major 0.0 0
northrop 0.0 0
grumman 0.0 0
missil 0.0 0
$21 0.0 0
127,000 0.0 0
contractor 0.0 0
boe 0.0 0
mcdonnel 0.0 0
dougla 0.0 0
lockhe 0.0 0
martin 0.0 0
denni 0.0 0
picard 0.0 0
statment 0.0 0
gm 0.0 0
jack 0.0 0
smith 0.0 0
aim 4.577634411573833 1
unlock 0.0 0
respons 0.0 0
rapidli 0.0 0
landscap 0.0 0
swallow 0.0 0
radar 0.0 0
